household,person,age,maritalStatus,income,female,hispanic,race,edu
101378,1,56,Never married,74000,1,0,White,Advanced Degree
101407,1,41,Now married,41000,0,0,White,Bachelors
101407,2,37,Now married,20000,1,0,White,Some College
101407,3,14,,,1,0,White,Less than High School
101407,4,10,,,0,0,White,Less than High School
101476,1,23,Never married,0,1,0,Black,Some College
101476,2,69,Now married,0,0,0,Black,Some College
101476,3,44,Now married,0,1,0,Black,Less than High School
101476,4,24,Never married,0,1,0,Black,Less than High School
101476,5,17,Never married,0,0,0,Black,High School
101476,6,20,Never married,0,1,0,Black,Less than High School
101476,7,12,,,1,0,Black,Less than High School
101476,8,1,,,1,0,Black,
101476,9,2,,,0,0,Black,
101520,1,34,Now married,65000,0,0,White,Bachelors
101520,2,31,Now married,59000,1,0,White,Bachelors
101728,1,39,Divorced,55000,1,0,White,Advanced Degree
101728,2,7,,,1,0,White,Less than High School
101875,1,83,Widowed,13300,1,0,White,Less than High School
101875,2,66,Widowed,7600,1,0,White,Less than High School
101892,1,72,Now married,53600,0,0,White,High School
101892,2,76,Now married,0,1,0,White,High School
102087,1,71,Now married,43400,0,0,White,Advanced Degree
102087,2,69,Now married,22500,1,0,White,Advanced Degree
102087,3,41,Divorced,7300,1,0,White,Some College
102091,1,51,Never married,32360,1,0,Black,High School
102091,2,40,Never married,13400,0,0,Black,Some College
102262,1,73,Widowed,34600,1,0,White,Less than High School
102262,2,43,Never married,27000,0,0,White,High School
102262,3,39,Divorced,34000,0,0,White,High School
102262,4,35,Never married,33300,1,0,White,Some College
102633,1,33,Never married,4500,0,0,White,Bachelors
102637,1,25,Never married,21000,1,0,Asian,Advanced Degree
102637,2,24,Never married,22000,0,0,White,Advanced Degree
102708,1,53,Now married,15890,0,0,White,Bachelors
102708,2,51,Now married,112180,1,0,White,Bachelors
102920,1,29,Now married,58000,1,0,White,Bachelors
102920,2,35,Now married,26500,0,0,White,Advanced Degree
103613,1,54,Divorced,80000,1,0,White,Bachelors
103791,1,65,Now married,38030,0,0,Asian,Bachelors
103791,2,52,Now married,45900,1,0,Asian,Bachelors
103845,1,40,Now married,49890,1,0,White,Bachelors
103845,2,43,Now married,25390,0,0,White,Some College
103848,1,26,Separated,23000,0,1,Hispanic,Less than High School
103922,1,66,Now married,22800,1,0,White,High School
103922,2,67,Now married,11100,0,0,White,Less than High School
104004,1,63,Now married,23550,0,0,Asian,High School
104004,2,60,Now married,1500,1,0,Asian,High School
104004,3,37,Never married,80000,0,0,Asian,Bachelors
104004,4,34,Never married,35000,1,0,Asian,Advanced Degree
104141,1,29,Never married,125000,0,0,White,Bachelors
104155,1,36,Now married,122000,0,0,White,Advanced Degree
104155,2,32,Now married,2000,1,0,White,Some College
104155,3,5,,,1,0,White,Less than High School
104155,4,1,,,0,0,White,
104186,1,43,Now married,95500,0,0,White,Advanced Degree
104186,2,42,Now married,6600,1,0,White,Some College
104186,3,12,,,1,0,White,Less than High School
104186,4,9,,,1,0,White,Less than High School
104242,1,62,Divorced,15360,0,0,White,Advanced Degree
104276,1,68,Widowed,25000,1,0,Black,High School
104276,2,43,Never married,5300,1,0,Black,High School
104276,3,18,Never married,6000,1,0,Black,Less than High School
104276,4,14,,,1,0,Black,Less than High School
104276,5,44,Now married,22000,1,0,Black,Some College
104276,6,28,Now married,20000,0,0,Black,High School
104385,1,24,Now married,32000,0,0,White,Bachelors
104385,2,24,Now married,30000,1,0,White,Advanced Degree
104471,1,47,Now married,124300,0,0,White,Advanced Degree
104471,2,47,Now married,7100,1,0,White,High School
104471,3,10,,,0,0,White,Less than High School
104496,1,51,Now married,341000,0,0,Asian,Advanced Degree
104496,2,46,Now married,0,1,0,Asian,Bachelors
104496,3,16,Never married,5000,1,0,Asian,Less than High School
104496,4,12,,,0,0,Asian,Less than High School
104660,1,62,Widowed,6000,0,0,Black,Less than High School
104726,1,26,Never married,32000,0,0,Black,Some College
104726,2,22,Never married,7500,1,0,Black,Less than High School
104964,1,37,Now married,60000,0,0,White,Some College
104964,2,39,Now married,0,1,0,White,High School
104964,3,6,,,0,0,White,Less than High School
104964,4,3,,,1,0,White,Less than High School
105184,1,22,Never married,16600,0,1,Hispanic,Some College
105184,2,4,,,0,1,Hispanic,Less than High School
105196,1,44,Divorced,5900,1,1,Hispanic,High School
105196,2,46,Never married,35000,1,1,Hispanic,Less than High School
105196,3,15,Never married,2500,1,1,Hispanic,Less than High School
105380,1,46,Never married,19000,0,0,Black,High School
105380,2,18,Never married,0,1,0,Black,Less than High School
105380,3,20,Never married,0,0,0,Black,Less than High School
105380,4,39,Separated,5300,1,1,Hispanic,High School
105395,1,48,Divorced,33800,0,0,Black,Less than High School
105411,1,55,Divorced,0,0,0,Black,Less than High School
105411,2,40,Never married,22000,1,0,Black,Less than High School
105411,3,52,Divorced,5000,0,0,Black,High School
105506,1,80,Now married,17100,0,0,Black,Less than High School
105506,2,69,Now married,25800,1,1,Hispanic,Less than High School
105506,3,24,Never married,12000,0,0,Black,High School
105506,4,20,Never married,4000,0,0,Black,High School
105506,5,18,Never married,3000,0,0,Black,Less than High School
105574,1,51,Now married,52000,0,0,Black,Some College
105574,2,48,Now married,49100,1,0,Black,Bachelors
105574,3,12,,,1,0,Black,Less than High School
105626,1,37,Now married,30000,0,0,Black,Some College
105626,2,30,Now married,20000,1,0,Black,Some College
105626,3,3,,,0,0,Black,Less than High School
105718,1,64,Now married,16700,0,0,Black,Less than High School
105718,2,59,Now married,32700,1,0,Black,High School
105718,3,37,Never married,19800,0,0,Black,High School
105718,4,36,Never married,35000,1,0,Black,Bachelors
105718,5,34,Never married,31700,1,0,Black,High School
105884,1,24,Never married,30000,0,1,Hispanic,Some College
105884,2,20,Never married,7000,1,0,Black,High School
106060,1,46,Now married,321000,0,0,Black,Advanced Degree
106060,2,46,Now married,12400,1,0,Black,Advanced Degree
106060,3,9,,,1,0,Black,Less than High School
106060,4,6,,,1,0,Black,Less than High School
106132,1,42,Now married,161000,0,0,White,Bachelors
106132,2,40,Now married,125100,1,0,White,Advanced Degree
106132,3,12,,,0,0,White,Less than High School
106132,4,10,,,0,0,White,Less than High School
106132,5,9,,,1,0,White,Less than High School
106557,1,47,Never married,0,1,0,Black,Some College
106665,1,73,Now married,16000,0,0,Black,Some College
106665,2,68,Now married,35000,1,0,Black,Bachelors
106698,1,60,Now married,5000,0,1,Hispanic,Less than High School
106698,2,51,Now married,9600,1,1,Hispanic,Less than High School
107021,1,33,Divorced,12400,1,0,Black,Bachelors
107021,2,12,,,0,0,Black,Less than High School
107021,3,8,,,1,0,Black,Less than High School
107083,1,78,Widowed,28000,1,0,White,High School
107103,1,36,Now married,100500,0,0,White,Bachelors
107103,2,37,Now married,0,1,0,White,High School
107103,3,9,,,0,0,White,Less than High School
107103,4,7,,,0,0,White,Less than High School
107184,1,54,Now married,76000,0,0,White,Advanced Degree
107184,2,52,Now married,83000,1,0,White,Advanced Degree
107347,1,66,Separated,12400,1,0,Black,Less than High School
107347,2,35,Never married,0,1,0,Black,High School
107347,3,8,,,1,0,Black,Less than High School
107418,1,63,Separated,6300,1,0,Black,Less than High School
107418,2,93,Widowed,6000,1,0,Black,Less than High School
107418,3,41,Separated,33000,1,0,Black,Some College
107418,4,22,Never married,5800,1,0,Black,Some College
107418,5,15,Never married,0,1,0,Black,Less than High School
107418,6,10,,,0,0,Black,Less than High School
107493,1,43,Now married,38400,0,0,Black,Less than High School
107493,2,47,Now married,0,1,0,Black,Less than High School
107493,3,17,Never married,0,0,0,Black,Less than High School
107493,4,11,,,0,0,Black,Less than High School
107493,5,2,,,0,0,Black,
107559,1,74,Now married,35000,0,0,White,Advanced Degree
107559,2,78,Now married,25300,1,0,White,Bachelors
107624,1,31,Separated,26000,1,1,Hispanic,High School
107624,2,2,,,0,1,Hispanic,
107624,3,1,,,1,1,Hispanic,
107624,4,41,Divorced,28000,0,1,Hispanic,Advanced Degree
107631,1,39,Now married,10000,0,1,Hispanic,Less than High School
107631,2,46,Now married,18000,1,1,Hispanic,High School
107631,3,9,,,0,1,Hispanic,Less than High School
107631,4,77,Now married,0,0,1,Hispanic,Less than High School
107631,5,67,Now married,0,1,1,Hispanic,Less than High School
107704,1,45,Divorced,14140,0,0,Black,High School
107771,1,35,Now married,322000,0,0,White,Advanced Degree
107771,2,29,Now married,0,1,0,White,Some College
107771,3,9,,,1,0,White,Less than High School
107771,4,7,,,1,0,White,Less than High School
107771,5,3,,,1,0,White,Less than High School
107771,6,1,,,0,0,White,
107788,1,45,Never married,47000,1,1,Hispanic,Less than High School
107808,1,37,Never married,32000,1,0,Black,Some College
107808,2,9,,,0,0,Black,Less than High School
107808,3,38,Never married,19000,1,0,Black,Less than High School
107896,1,52,Divorced,35000,1,0,White,Advanced Degree
107896,2,21,Never married,10000,1,0,White,Some College
107896,3,35,Never married,52300,1,0,White,Advanced Degree
108062,1,24,Never married,75000,0,0,Asian,Bachelors
108062,2,24,Never married,75000,0,0,Asian,Bachelors
108155,1,47,Never married,14000,1,1,Hispanic,Less than High School
108155,2,20,Never married,0,0,1,Hispanic,High School
108155,3,10,,,0,1,Hispanic,Less than High School
108186,1,65,Now married,34970,0,0,White,High School
108329,1,39,Now married,100000,0,0,Asian,Advanced Degree
108329,2,25,Now married,0,1,0,Asian,Bachelors
108329,3,4,,,1,0,Asian,Less than High School
108329,4,0,,,1,0,Asian,
108649,1,30,Now married,62900,0,0,White,Some College
108649,2,27,Now married,62000,1,0,White,High School
108649,3,5,,,1,0,White,Less than High School
108649,4,1,,,1,0,White,
108708,1,62,Widowed,6600,1,0,Black,High School
108712,1,43,Never married,51000,0,0,Black,High School
108738,1,32,Now married,25900,0,0,Black,Some College
108738,2,29,Never married,28200,1,0,Black,Some College
108947,1,70,Now married,150000,0,0,White,Advanced Degree
108947,2,60,Now married,0,1,0,White,Some College
108947,3,31,Never married,48930,0,0,White,Advanced Degree
108947,4,30,Never married,34200,1,0,White,Bachelors
108947,5,26,Separated,22020,1,0,White,High School
108947,6,25,Never married,17000,1,0,White,Bachelors
108955,1,60,Now married,12500,1,1,Hispanic,Less than High School
108955,2,64,Now married,17300,0,1,Hispanic,Less than High School
108955,3,31,Now married,18000,1,1,Hispanic,Less than High School
109158,1,32,Now married,18000,0,1,Hispanic,Less than High School
109158,2,35,Now married,1100,1,1,Hispanic,Some College
109158,3,5,,,1,1,Hispanic,Less than High School
109158,4,39,Divorced,46100,0,1,Hispanic,Some College
109158,5,4,,,1,1,Hispanic,Less than High School
109195,1,45,Now married,29120,0,1,Hispanic,Less than High School
109195,2,34,Now married,15000,1,1,Hispanic,Less than High School
109195,3,10,,,0,1,Hispanic,Less than High School
109195,4,8,,,1,1,Hispanic,Less than High School
109382,1,44,Never married,95000,1,0,White,Advanced Degree
109466,1,33,Never married,50000,0,1,Hispanic,Bachelors
109466,2,34,Never married,34000,0,0,White,Some College
109471,1,63,Never married,0,1,0,White,Less than High School
109527,1,23,Never married,9000,1,1,Hispanic,Some College
109527,2,4,,,0,1,Hispanic,Less than High School
109570,1,64,Now married,60000,0,0,White,Less than High School
109570,2,56,Now married,30000,1,0,White,High School
109570,3,27,Never married,30000,0,0,White,High School
109570,4,1,,,1,0,White,
109599,1,33,Now married,10000,0,0,White,Less than High School
109599,2,33,Now married,0,1,0,White,High School
109599,3,4,,,0,0,White,Less than High School
109645,1,40,Separated,35000,0,1,Hispanic,Less than High School
109645,2,46,Divorced,26000,0,1,Hispanic,High School
109727,1,43,Divorced,12980,1,0,Asian,Some College
109727,2,18,Never married,5500,0,0,Other,High School
109727,3,15,Never married,0,0,0,Other,Less than High School
109766,1,44,Now married,6600,0,1,Hispanic,Bachelors
109766,2,27,Now married,0,1,1,Hispanic,Some College
109766,3,3,,,1,1,Hispanic,Less than High School
109766,4,1,,,1,1,Hispanic,
109766,5,56,Now married,600,1,1,Hispanic,Less than High School
109835,1,47,Now married,2000,0,1,Hispanic,Less than High School
109835,2,54,Now married,2400,1,1,Hispanic,High School
109872,1,81,Widowed,16000,0,0,White,Less than High School
109925,1,25,Never married,10000,1,0,White,Bachelors
109992,1,42,Separated,19500,1,0,White,Less than High School
109992,2,14,,,1,0,White,Less than High School
109992,3,11,,,0,0,White,Less than High School
109992,4,5,,,1,0,White,Less than High School
110021,1,49,Now married,19000,0,1,Hispanic,Advanced Degree
110021,2,44,Now married,0,1,1,Hispanic,Some College
110021,3,24,Never married,19000,1,1,Hispanic,Less than High School
110021,4,23,Never married,24000,0,1,Hispanic,High School
110021,5,1,,,1,1,Hispanic,
110046,1,56,Separated,2700,1,0,White,Less than High School
110046,2,36,Separated,0,1,0,White,Less than High School
110046,3,12,,,1,0,White,Less than High School
110046,4,11,,,0,0,White,Less than High School
110046,5,3,,,1,0,White,Less than High School
110426,1,44,Divorced,14000,1,0,White,High School
110426,2,15,Never married,0,1,1,Hispanic,Less than High School
110426,3,19,Never married,31200,0,1,Hispanic,High School
110614,1,29,Divorced,16400,1,1,Hispanic,High School
110614,2,9,,,0,1,Hispanic,Less than High School
110614,3,7,,,1,1,Hispanic,Less than High School
110614,4,3,,,0,1,Hispanic,Less than High School
110648,1,57,Never married,5000,0,1,Hispanic,Less than High School
110648,2,23,Never married,1000,0,1,Hispanic,Less than High School
110648,3,26,Now married,6000,1,1,Hispanic,Less than High School
110648,4,5,,,1,0,White,Less than High School
110648,5,0,,,1,0,White,
110655,1,52,Now married,26000,0,1,Hispanic,Less than High School
110655,2,47,Now married,9800,1,1,Hispanic,Less than High School
110655,3,27,Never married,15500,1,1,Hispanic,High School
110655,4,17,Never married,1100,1,1,Hispanic,High School
110655,5,16,Never married,0,1,1,Hispanic,Less than High School
110655,6,11,,,1,1,Hispanic,Less than High School
110658,1,31,Now married,25000,0,1,Hispanic,Some College
110658,2,29,Now married,25000,1,1,Hispanic,High School
110658,3,5,,,1,1,Hispanic,Less than High School
110658,4,2,,,0,1,Hispanic,
110723,1,35,Never married,41000,1,0,Black,Bachelors
110723,2,18,Never married,0,1,0,Black,Less than High School
110723,3,17,Never married,0,0,0,Black,Less than High School
110723,4,16,Never married,700,1,0,Black,Less than High School
110723,5,15,Never married,0,0,0,Black,Less than High School
110723,6,13,,,0,0,Black,Less than High School
110723,7,0,,,1,0,Black,
110735,1,29,Now married,18500,1,0,Black,High School
110735,2,31,Now married,41000,0,0,Black,Some College
110888,1,31,Now married,80000,0,1,Hispanic,Bachelors
110888,2,27,Now married,0,1,1,Hispanic,High School
110888,3,6,,,1,1,Hispanic,Less than High School
110888,4,2,,,1,1,Hispanic,
111013,1,57,Now married,62000,0,0,White,High School
111013,2,58,Now married,35000,1,0,White,Bachelors
111013,3,37,Never married,42000,0,0,White,Some College
111157,1,19,Never married,18450,1,0,White,High School
111264,1,73,Now married,7700,0,0,White,Less than High School
111264,2,57,Now married,0,1,0,White,Less than High School
111264,3,18,Never married,0,1,0,White,High School
111264,4,20,Never married,12100,1,0,White,Some College
111441,1,41,Never married,35000,0,0,Black,Some College
111441,2,5,,,1,0,Black,Less than High School
111441,3,44,Never married,40000,1,0,Black,Some College
111479,1,38,Now married,57000,0,0,White,Bachelors
111479,2,30,Now married,22000,1,0,White,High School
111479,3,0,,,1,0,White,
111535,1,74,Now married,132100,0,0,White,Some College
111535,2,70,Now married,75200,1,0,White,Some College
111670,1,59,Never married,35400,1,0,White,Some College
111676,1,38,Never married,93900,0,0,White,Advanced Degree
111791,1,72,Now married,124000,0,0,White,Advanced Degree
111791,2,69,Now married,50,1,0,White,Advanced Degree
111791,3,73,Now married,124000,1,0,White,Advanced Degree
111928,1,55,Now married,321000,0,0,White,Advanced Degree
111928,2,51,Now married,38500,1,0,White,Advanced Degree
111956,1,21,Never married,17300,1,0,Black,High School
111956,2,2,,,1,0,Black,
111956,3,1,,,0,0,Black,
111956,4,29,Never married,0,0,0,Black,High School
111956,5,2,,,1,0,Black,
111956,6,40,Now married,60000,0,0,Black,Some College
111956,7,22,Never married,290,1,0,Black,High School
111956,8,24,Never married,3000,1,0,Black,High School
111956,9,19,Never married,0,0,0,Black,Less than High School
111956,10,16,Never married,0,1,0,Black,Less than High School
112738,1,51,Now married,72000,0,0,White,Some College
112738,2,50,Now married,34000,1,0,White,Bachelors
112738,3,22,Never married,10500,1,0,White,Some College
112796,1,29,Never married,4500,0,0,White,High School
112943,1,33,Now married,90200,0,0,White,Advanced Degree
112943,2,32,Now married,32540,1,0,White,Advanced Degree
112943,3,1,,,1,0,White,
112972,1,47,Now married,73000,0,0,White,Bachelors
112972,2,42,Now married,7200,1,0,White,High School
112972,3,16,Never married,0,1,0,White,Less than High School
112972,4,14,,,0,0,White,Less than High School
112985,1,62,Now married,321000,0,0,White,Advanced Degree
112985,2,53,Now married,0,1,0,Other,Some College
113121,1,35,Now married,56000,0,0,White,Bachelors
113121,2,36,Now married,0,1,0,White,Bachelors
113121,3,5,,,1,0,White,Less than High School
113121,4,2,,,1,0,White,
113121,5,61,Now married,35000,0,0,White,Some College
113121,6,58,Now married,42200,1,0,White,Some College
113165,1,70,Widowed,25900,1,0,White,Some College
113573,1,71,Now married,178800,0,0,White,Advanced Degree
113573,2,72,Now married,171920,1,0,White,Bachelors
113601,1,80,Now married,7200,0,0,White,Some College
113601,2,76,Now married,3700,1,0,White,High School
113753,1,70,Now married,173600,0,0,White,Advanced Degree
113753,2,66,Now married,9200,1,0,White,Bachelors
113863,1,37,Never married,103000,1,0,White,Advanced Degree
113892,1,46,Never married,124000,1,0,White,Bachelors
114048,1,39,Now married,100000,0,0,White,Some College
114048,2,37,Now married,10000,1,0,White,Some College
114048,3,1,,,1,0,White,
114048,4,1,,,1,0,White,
114048,5,9,,,0,0,White,Less than High School
114124,1,46,Now married,53000,0,0,White,Advanced Degree
114124,2,46,Now married,12000,1,0,White,Advanced Degree
114124,3,9,,,0,0,White,Less than High School
114311,1,45,Now married,95120,0,0,White,Bachelors
114311,2,45,Now married,40,1,0,White,Bachelors
114311,3,18,Never married,6000,1,0,White,Less than High School
114311,4,16,Never married,0,0,0,White,Less than High School
114311,5,11,,,0,0,White,Less than High School
114407,1,40,Now married,93000,0,0,White,Some College
114407,2,39,Now married,0,1,0,White,High School
114407,3,8,,,1,0,White,Less than High School
114407,4,3,,,1,0,White,Less than High School
114407,5,1,,,0,0,White,
114525,1,76,Now married,15400,0,0,White,Less than High School
114525,2,69,Now married,8700,1,0,White,High School
114574,1,44,Divorced,15300,1,0,White,Some College
114655,1,50,Now married,74000,0,1,Hispanic,High School
114655,2,39,Now married,0,1,0,White,High School
114655,3,17,Never married,0,0,0,White,Less than High School
114655,4,16,Never married,1000,0,0,White,Less than High School
114655,5,14,,,0,0,White,Less than High School
114655,6,13,,,0,0,White,Less than High School
114655,7,11,,,1,0,White,Less than High School
114678,1,70,Widowed,16600,1,0,White,High School
114890,1,58,Never married,24000,1,0,White,Bachelors
114890,2,83,Widowed,17000,1,0,White,High School
114948,1,52,Now married,60000,0,0,White,Advanced Degree
114948,2,51,Now married,100000,1,0,White,Bachelors
115005,1,67,Widowed,28700,1,0,White,High School
115005,2,38,Divorced,9300,1,0,White,Less than High School
115005,3,61,Never married,18800,1,0,White,Less than High School
115135,1,66,Now married,32500,0,0,White,High School
115135,2,84,Widowed,18000,1,0,White,Less than High School
115135,3,32,Now married,11000,0,0,White,Less than High School
115176,1,46,Separated,40400,0,0,White,Some College
115176,2,15,Never married,0,1,0,White,Less than High School
115176,3,13,,,0,0,White,Less than High School
115220,1,44,Never married,7800,0,0,White,High School
115317,1,76,Widowed,19990,1,0,White,High School
115357,1,27,Never married,35000,1,0,Black,Some College
115357,2,55,Divorced,24000,1,0,Black,Some College
115375,1,34,Never married,7900,0,0,Black,Some College
115394,1,36,Now married,60000,0,0,White,Bachelors
115394,2,43,Now married,111000,1,0,White,Some College
115652,1,67,Now married,17000,0,0,White,Some College
115652,2,69,Now married,5200,1,0,White,High School
115652,3,34,Separated,36000,1,0,White,Bachelors
115652,4,3,,,0,0,White,Less than High School
116221,1,33,Now married,17000,0,0,White,Less than High School
116221,2,28,Now married,0,1,0,White,High School
116221,3,2,,,0,0,White,
116366,1,45,Divorced,18000,1,0,White,High School
116414,1,41,Divorced,55000,1,0,White,Some College
116414,2,14,,,0,0,White,Less than High School
116414,3,9,,,0,0,White,Less than High School
116430,1,68,Now married,23200,0,0,White,Bachelors
116430,2,64,Now married,26200,1,0,White,High School
116499,1,52,Now married,331000,0,0,White,Advanced Degree
116499,2,46,Now married,60900,1,0,White,Advanced Degree
116727,1,45,Separated,17000,1,1,Hispanic,High School
116727,2,19,Never married,2700,0,1,Hispanic,Some College
116727,3,17,Never married,700,0,1,Hispanic,Less than High School
116727,4,47,Separated,25000,0,1,Hispanic,High School
116758,1,32,Now married,30000,0,0,White,Some College
116862,1,61,Now married,58200,0,0,White,Bachelors
116862,2,53,Now married,0,1,0,White,High School
116862,3,26,Never married,19410,1,0,White,High School
116862,4,7,,,0,0,White,Less than High School
116997,1,83,Widowed,147200,0,0,White,High School
117055,1,50,Now married,27500,1,1,Hispanic,Less than High School
117055,2,24,Never married,16000,0,1,Hispanic,Bachelors
117055,3,25,Never married,20000,1,1,Hispanic,Bachelors
117055,4,15,Never married,0,1,1,Hispanic,Less than High School
117055,5,7,,,1,1,Hispanic,Less than High School
117154,1,79,Now married,13200,0,0,White,Less than High School
117154,2,79,Now married,5400,1,0,White,High School
117184,1,50,Never married,36000,0,0,White,High School
117184,2,85,Never married,0,1,0,White,High School
117184,3,86,Widowed,0,1,0,White,High School
117340,1,49,Divorced,16850,1,0,White,Some College
117906,1,47,Divorced,29100,1,0,White,High School
117906,2,70,Widowed,11500,1,0,White,High School
117922,1,67,Widowed,27200,1,0,White,High School
117963,1,66,Widowed,164000,1,0,White,Advanced Degree
118285,1,58,Now married,128400,0,0,White,Bachelors
118285,2,56,Now married,33000,1,0,White,Bachelors
118285,3,30,Never married,18100,1,0,White,Bachelors
118285,4,26,Never married,7050,0,0,White,Bachelors
118285,5,24,Never married,11104,0,0,White,Some College
118285,6,18,Never married,3390,0,0,White,Less than High School
118285,7,8,,,0,0,White,Less than High School
118380,1,72,Now married,51100,0,0,White,Advanced Degree
118380,2,72,Now married,5600,1,0,White,Some College
118529,1,58,Now married,43000,0,0,White,Some College
118529,2,63,Now married,11000,1,0,White,High School
118529,3,15,Now married,0,0,0,White,Less than High School
118568,1,71,Now married,30400,0,0,White,High School
118568,2,75,Now married,5300,1,0,White,High School
118568,3,42,Never married,72000,0,0,White,Bachelors
118685,1,40,Now married,52000,0,0,White,Some College
118685,2,40,Now married,35100,1,0,White,Some College
118789,1,72,Now married,82700,0,0,White,High School
118789,2,61,Now married,0,1,0,White,High School
118789,3,28,Never married,33000,0,0,White,Some College
118900,1,81,Divorced,12580,1,0,White,High School
118900,2,63,Divorced,22730,1,0,White,High School
118920,1,83,Divorced,18900,0,1,Hispanic,Less than High School
119006,1,71,Now married,7800,0,1,Hispanic,High School
119006,2,69,Now married,5200,1,1,Hispanic,High School
119074,1,57,Separated,45000,1,0,Black,Bachelors
119127,1,52,Widowed,25000,1,0,Black,Some College
119127,2,32,Never married,33000,1,0,Black,Bachelors
119168,1,49,Now married,6000,0,1,Hispanic,Less than High School
119168,2,44,Now married,1000,1,1,Hispanic,High School
119168,3,22,Never married,0,1,1,Hispanic,Some College
119168,4,19,Never married,17500,0,1,Hispanic,Less than High School
119307,1,70,Never married,32200,1,0,Black,Less than High School
119730,1,35,Now married,0,0,0,White,High School
119730,2,35,Now married,11000,1,0,White,Less than High School
119730,3,10,,,0,0,White,Less than High School
119730,4,8,,,1,0,White,Less than High School
119730,5,6,,,1,0,White,Less than High School
119735,1,22,Never married,48800,0,1,Hispanic,High School
119735,2,2,,,0,1,Hispanic,
119735,3,20,Never married,15000,1,1,Hispanic,High School
120082,1,48,Now married,66000,0,0,White,Some College
120082,2,46,Now married,30000,1,0,White,Some College
120082,3,16,Never married,4000,0,0,White,Less than High School
120082,4,13,,,0,0,White,Less than High School
120082,5,9,,,0,0,White,Less than High School
120082,6,9,,,0,0,White,Less than High School
120101,1,52,Now married,323000,0,0,Asian,Bachelors
120101,2,47,Now married,0,1,0,Asian,Advanced Degree
120409,1,57,Now married,138000,0,0,White,Bachelors
120409,2,57,Now married,36000,1,0,White,Advanced Degree
120416,1,62,Now married,62000,0,0,White,Bachelors
120416,2,53,Now married,49000,1,0,White,Some College
120461,1,73,Now married,48600,0,0,White,Bachelors
120461,2,69,Now married,21000,1,0,White,High School
120461,3,36,Never married,0,0,0,White,Some College
120574,1,80,Now married,16500,0,0,White,Less than High School
120574,2,71,Now married,9700,1,0,White,Less than High School
120574,3,46,Separated,28600,1,0,White,Some College
120675,1,47,Divorced,30600,1,1,Hispanic,Some College
120737,1,53,Now married,67800,0,0,White,Some College
120737,2,52,Now married,28000,1,0,White,Some College
120846,1,68,Widowed,16200,1,0,White,High School
120846,2,44,Never married,52000,0,0,White,Bachelors
121058,1,34,Now married,103000,0,0,White,Bachelors
121058,2,33,Now married,50000,1,0,White,Bachelors
121058,3,0,,,1,0,White,
121081,1,38,Now married,70400,0,0,White,Bachelors
121081,2,34,Now married,47000,1,0,White,High School
121081,3,3,,,0,0,White,Less than High School
121081,4,1,,,1,0,White,
121399,1,52,Never married,35000,0,0,White,Advanced Degree
121399,2,47,Divorced,55000,0,0,White,Advanced Degree
121525,1,68,Divorced,15100,0,0,White,Some College
121849,1,31,Now married,97000,0,0,White,Bachelors
121849,2,38,Now married,0,1,0,White,Bachelors
121849,3,2,,,1,0,White,
121849,4,0,,,1,0,White,
121859,1,60,Now married,11000,0,0,White,High School
121859,2,59,Now married,7500,1,0,White,High School
121859,3,89,Widowed,11000,0,0,White,Less than High School
122052,1,65,Widowed,47400,0,0,White,High School
122066,1,60,Divorced,33000,1,0,White,High School
122066,2,55,Divorced,56000,0,0,White,High School
122079,1,73,Now married,24000,0,0,White,High School
122079,2,68,Now married,8400,1,0,White,Some College
122224,1,69,Divorced,12000,0,0,White,High School
122284,1,40,Divorced,31000,1,0,Black,Some College
122284,2,18,Never married,0,0,0,Black,Less than High School
122284,3,9,,,1,0,Black,Less than High School
122343,1,42,Now married,67000,0,1,Hispanic,Some College
122343,2,42,Now married,0,1,1,Hispanic,Some College
122343,3,19,Never married,900,0,1,Hispanic,Less than High School
122343,4,14,,,1,1,Hispanic,Less than High School
122343,5,10,,,0,1,Hispanic,Less than High School
122586,1,56,Now married,15590,0,0,White,High School
122586,2,52,Now married,16000,1,0,White,High School
122741,1,31,Never married,11700,1,0,White,Less than High School
122741,2,9,,,0,0,White,Less than High School
122741,3,6,,,0,0,White,Less than High School
122753,1,47,Now married,7100,0,0,White,Bachelors
122753,2,46,Now married,16500,1,0,White,Bachelors
122753,3,16,Never married,4700,0,0,White,Less than High School
122832,1,77,Never married,12700,1,0,White,High School
123002,1,37,Now married,36900,0,0,White,High School
123002,2,34,Now married,1900,1,0,White,High School
123002,3,2,,,1,0,White,
123146,1,31,Now married,39200,0,0,White,Some College
123146,2,30,Now married,7600,1,0,White,Bachelors
123260,1,74,Widowed,10300,1,0,White,Less than High School
123300,1,38,Now married,39000,0,0,White,High School
123300,2,37,Now married,5000,1,0,White,High School
123300,3,13,,,1,0,White,Less than High School
123300,4,3,,,1,0,White,Less than High School
123406,1,42,Now married,43200,0,0,White,High School
123406,2,46,Now married,31600,1,0,White,Bachelors
123406,3,13,,,1,0,White,Less than High School
123586,1,45,Now married,2400,0,0,White,Some College
123586,2,50,Now married,10750,1,0,White,High School
123586,3,19,Never married,12000,0,0,White,Some College
123586,4,16,Never married,1660,1,0,White,Less than High School
123586,5,13,,,0,0,White,Less than High School
123586,6,9,,,1,0,White,Less than High School
123648,1,80,Widowed,12800,1,0,Other,Less than High School
